Year/species/area;Species;Area;Year;PCB7 l.w.;SDDT l.w.;SHCH l.w.;HCB l.w.;TNC l.w.;SPBDE l.w.;Log PCB7 LW;Log DDT LW;Log HCH LW;Log TNC LW;Log HCB LW;Log PBDE LW;Hel lengde, cm;Log(Length);Hel vekt, g;Lever vekt, g;LSI %;Log LSI;Fettinnhold, %;Log fett;Alder, y;PCB7, µg/kg ww;Log PCB7 ww;DDT ww1;Log DDT ww;HCH ww;Log HCH ww;TNC ww;Log TNC ww;HCB ww;Log HCB ww;PBDE ww;Log PBDE ww;DDT ww10;Var18;Var19
H Eb 2019;Haddock;Egersund Bank;2019;100,545787;20,62032139;0,980152722;13,45390355;6,132280801;11,22873756;2,002363878;1,31429543;-0,00870625;0,787622033;1,12884831;1,050330931;36;1,56;505;21,00;4,158415842;0,62;59,3;1,77;3;60;1,78;12,22;1,09;0,58;-0,24;3,64;0,56;7,98;0,90;6,66;0,82;12,22;;
H Eb 2019;Haddock;Egersund Bank;2019;89,114436;13,16872501;0,992201968;24,45226627;4,946310551;9,741953396;1,949948063;1,119543729;-0,003399916;0,69428138;1,388319116;0,988646048;39;1,59;570;24,00;4,210526316;0,62;54,4;1,74;3;49;1,69;7,17;0,86;0,54;-0,27;2,69;0,43;13,31;1,12;5,30;0,72;7,17;;
H Eb 2019;Haddock;Egersund Bank;2019;128,0372273;18,06530795;0,904418087;16,26001851;2,906551461;21,62445913;2,107336261;1,256845369;-0,043630761;0,463378017;1,211121036;1,334945254;36;1,56;495;21,00;4,242424242;0,63;56,4;1,75;3;72;1,86;10,19;1,01;0,51;-0,29;1,64;0,21;9,17;0,96;12,19;1,09;10,19;;
H Eb 2019;Haddock;Egersund Bank;2019;;;;;;;;;;;;;40;1,60;575;13,00;2,260869565;0,35;;;4;;;;;;;;;;;;;;;
H Eb 2019;Haddock;Egersund Bank;2019;83,83912677;16,16872493;0,958910012;11,07025803;4,551765924;9,798697942;1,923446746;1,208675773;-0,018222147;0,65817992;1,044157744;0,99116837;37;1,57;510;15,00;2,941176471;0,47;57,3;1,76;3;48;1,68;9,26;0,97;0,55;-0,26;2,61;0,42;6,34;0,80;5,61;0,75;9,26;;
H Eb 2019;Haddock;Egersund Bank;2019;153,4393983;9,142036654;1,587369361;17,33997639;6,5065116;10,36803826;2,185936887;0,961042958;0,200677993;0,813348208;1,239048502;1,015696591;53;1,72;1390;45,00;3,237410072;0,51;52,9;1,72;4;81;1,91;4,83;0,68;0,84;-0,08;3,44;0,54;9,17;0,96;5,48;0,74;4,83;;
H Eb 2019;Haddock;Egersund Bank;2019;121,4127811;34,3235423;1,181000177;11,83816025;6,05573162;13,01087852;2,084264407;1,535592102;0,072249963;0,78216662;1,073284215;1,114306622;40;1,60;650;29,00;4,461538462;0,65;60,4;1,78;4;73;1,87;20,72;1,32;0,71;-0,15;3,66;0,56;7,15;0,85;7,86;0,90;20,72;;
H Eb 2019;Haddock;Egersund Bank;2019;64,65961124;19,04344192;0,866082866;9,27924742;3,660089921;7,478862832;1,810633089;1,279745446;-0,062440553;0,563491755;0,967512755;0,873835568;38;1,58;555;31,00;5,585585586;0,75;67,4;1,83;3;44;1,64;12,84;1,11;0,58;-0,23;2,47;0,39;6,26;0,80;5,04;0,70;12,84;;
H Eb 2019;Haddock;Egersund Bank;2019;209,5501239;43,49799177;1,236153483;15,77393364;7,722594932;18,20779104;2,321287922;1,638469207;0,092072397;0,887763256;1,197940009;1,260257261;53;1,72;1350;35,00;2,592592593;0,41;52,0;1,72;4;109;2,04;22,63;1,35;0,64;-0,19;4,02;0,60;8,21;0,91;9,47;0,98;22,63;;
H Eb 2019;Haddock;Egersund Bank;2019;245,8819811;19,02337856;1,073993936;25,37455652;3,365799572;26,79417702;2,390726704;1,27928765;0,031001829;0,527088251;1,404398461;1,428040422;49;1,69;1135;29,00;2,555066079;0,41;43,1;1,63;5;106;2,03;8,20;0,91;0,46;-0,33;1,45;0,16;10,94;1,04;11,55;1,06;8,20;;
H Eb 2019;Haddock;Egersund Bank;2019;247,41858;29,89833868;1,031296137;19,63856074;6,902284684;14,52138955;2,39343231;1,475647057;0,013383391;0,838992868;1,293109656;1,162008176;43;1,63;625;16,00;2,56;0,41;43,2;1,64;4;107;2,03;12,93;1,11;0,45;-0,35;2,99;0,47;8,49;0,93;6,28;0,80;12,93;;
